"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","subject","test_year","number_entries","percentage"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Film Studies","Total",18,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Total",5485,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Film Studies","Final year",18,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Final year",5360,"97.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Film Studies","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Penultimate year",83,"1.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Total",54587,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Final year",54208,"99.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Penultimate year",363,"0.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","French","Total",18,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Total",127054,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","French","Final year",17,"94.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Final year",124999,"98.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","French","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Penultimate year",1076,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Total",289897,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Final year",289010,"99.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Penultimate year",839,"0.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","German","Total",3,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Total",32224,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","German","Final year",3,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Final year",31436,"97.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","German","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Penultimate year",444,"1.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hair / Personal Care","Total",2321,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hair / Personal Care","Final year",2306,"99.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hair / Personal Care","Penultimate year",15,"0.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Health","Total",56294,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Health","Final year",55778,"99.1"
