"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","qualification_detailed","grade_structure","subject","discount_code","subject_discount_group","grade","number_achieving"
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","3",497
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","4",478
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","5",646
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","6",926
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","7",726
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","8",637
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","9",651
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","Total exam entries",5000
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","U",54
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","X",20
