"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR01577","Ormiston Academies Trust","4106","6982127","10058272","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","5526","37","63","z","14","20","135234;135769;135960;135979;135980;136145;136185;136186;136187;136680;137109;137152;137196;137673;137674;138506;139403;139918;140032;140199;140364;140845;140864;141169;141269;142186;145008;145134;145501;146063;147683;147796","32","5","26","1","0","0","32","0","0","32","z"
"202425","Academic year","MAT","E92000001","England","TR01585","Outwood Grange Academies Trust","4119","6995649","10058273","North East","Revised","Multi-academy trust","Included in MAT performance tables","4670","34","66","z","13","20","135961;135963;136394;137004;137412;138247;138248;138711;139210;139211;139277;139823;140415;141377;141399;143146;143938;144976;145188;145937;145938;147544;147848;148337;148522;148526;149429","27","6","20","1","0","0","27","3","1","23","z"
"202425","Academic year","MAT","E92000001","England","TR01585","Outwood Grange Academies Trust","4119","6995649","10058273","North East","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","4670","34","66","z","13","20","135961;135963;136394;137004;137412;138247;138248;138711;139210;139211;139277;139823;140415;141377;141399;143146;143938;144976;145188;145937;145938;147544;147848;148337;148522;148526;149429","27","6","20","1","0","0","27","3","1","23","z"
"202425","Academic year","MAT","E92000001","England","TR01605","Core Education Trust","4145","7949154","10059585","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","733","58","42","z","32","15","138059;141003;145580;148187","4","1","1","2","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01605","Core Education Trust","4145","7949154","10059585","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","733","58","42","z","32","15","138059;141003;145580;148187","4","1","1","2","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01611","Advance Learning Partnership","16711","7928558","10059549","North East","Revised","Multi-academy trust","Included in MAT performance tables","754","33","67","z","2","18","137903;144991;145564;147122;148109;148706","6","4","2","0","0","0","6","0","1","5","z"
"202425","Academic year","MAT","E92000001","England","TR01611","Advance Learning Partnership","16711","7928558","10059549","North East","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1157","34","66","z","4","20","136838;137903;144991;145564;147122;148109;148706;149251;149962","9","7","2","0","0","0","9","0","1","5","z"
"202425","Academic year","MAT","E92000001","England","TR01615","Partnership Learning","5485","8339345","10053276","London","Revised","Multi-academy trust","Included in MAT performance tables","1185","33","67","z","36","15","139791;141683;142908;143144;143946;145106;148932","7","3","1","2","0","1","7","1","0","6","z"
"202425","Academic year","MAT","E92000001","England","TR01615","Partnership Learning","5485","8339345","10053276","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1647","30","70","z","39","15","135004;136711;137829;139791;141683;142908;143144;143946;145106;148932","10","5","2","2","0","1","10","1","0","6","z"
"202425","Academic year","MAT","E92000001","England","TR01632","Cornwall Education Learning Trust","5479","7565242","10055139","South West","Revised","Multi-academy trust","Included in MAT performance tables","877","23","77","z","4","20","136533;136573;145108;147442","4","2","2","0","0","0","4","0","0","4","z"
