URN,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Name,Lat,Lon,Website,Attainment 8,Progress 8
140204,Bradford Girls' Grammar School,Secondary,Free School,02/09/2013,Non-selective,Does not have a sixth form,,Christian,Christian,Bradford,Bradford West,2408.0,Bradford Diocesan Academies Trust,2407.0,Bradford Diocesan Academies Trust,BD9 6RB,4.0,1041.0,4,16,,10227444,Serious Weaknesses S5 Reinspection,Serious Weaknesses S5 Reinspection,Schools - S5,24/05/2022,12/07/2022,3.0,,3.0,3.0,3.0,3.0,Yes,2.0,9.0,Bradford Girls' Grammar School,53.8031663,-1.7964124,https://www.bggs.com/,46.9,0.11
140326,The Halifax Academy,Secondary,Academy Converter,01/11/2013,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,Calderdale,Halifax,16681.0,Impact Education Multi Academy Trust,16414.0,Impact Education Multi Academy Trust,HX2 0BA,5.0,1449.0,4,16,,10241919,S5 Inspection,S5 Inspection,Schools - S5,14/06/2023,01/08/2023,2.0,,2.0,1.0,1.0,1.0,Yes,2.0,9.0,The Halifax Academy,53.7239598,-1.893369,https://www.thehalifaxacademy.org/,40.9,-0.2
140429,Bradford Forster Academy,Secondary,Academy Sponsor Led,01/09/2015,Not applicable,Does not have a sixth form,Church of England,,Christian,Bradford,Bradford East,2408.0,Bradford Diocesan Academies Trust,2407.0,Bradford Diocesan Academies Trust,BD4 8RG,5.0,974.0,11,16,2.0,10267558,S5 Inspection,S5 Inspection,Schools - S5,22/03/2023,12/07/2023,4.0,SM,3.0,4.0,4.0,4.0,Yes,9.0,9.0,Bradford Forster Academy,53.7799027,-1.723678,https://bradfordforsteracademy.co.uk/,37.0,-0.54
141002,Dixons McMillan Academy,Secondary,Free School,01/09/2014,Unknown,Does not have a sixth form,,,Non-faith,Bradford,Bradford West,2939.0,DIXONS ACADEMIES TRUST,2937.0,Dixons Academies Trust,BD5 0JD,5.0,660.0,11,16,,10281377,S5 Inspection,S5 Inspection,Schools - S5,26/09/2023,20/11/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Dixons McMillan Academy,53.786417,-1.7652387,https://www.dixonsma.com/,47.8,-0.16
142031,Beckfoot Upper Heaton,Secondary,Academy Sponsor Led,01/09/2015,Non-selective,Does not have a sixth form,Does not apply,,Non-faith,Bradford,Bradford West,2270.0,Beckfoot Trust,2271.0,Beckfoot Trust,BD9 6AL,5.0,716.0,11,16,,10044427,Academy First Section 5,Academy First Section 5,Schools - S5,15/03/2018,23/04/2018,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,9.0,Beckfoot Upper Heaton,53.8186341,-1.811829,https://www.beckfootupperheaton.org/,32.7,-0.71
142590,Immanuel College,Secondary,Academy Converter,01/02/2016,Non-selective,Has a sixth form,Church of England,Does not apply,Christian,Bradford,Bradford East,2408.0,Bradford Diocesan Academies Trust,2407.0,Bradford Diocesan Academies Trust,BD10 9AQ,4.0,1702.0,11,18,,ITS406483,S5 Inspection,S5 Inspection,Schools - S5,05/12/2012,11/01/2013,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Immanuel College,53.8426114,-1.7269034,https://www.immanuelcollege.org/,40.6,-0.56
142681,Laisterdyke Leadership Academy,Secondary,Academy Sponsor Led,01/04/2016,Non-selective,Has a sixth form,,Unknown,Non-faith,Bradford,Bradford East,4903.0,STAR ACADEMIES,4904.0,Star Academies,BD3 8HE,5.0,873.0,11,18,,10255719,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/01/2023,21/03/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Laisterdyke Leadership Academy,53.7967168,-1.7151923,https://www.laisterdykeleadershipacademy.com/,35.8,-0.43
142761,Tong Leadership Academy,Secondary,Academy Sponsor Led,01/12/2016,Non-selective,Has a sixth form,Does not apply,Unknown,Non-faith,Bradford,Bradford South,4903.0,STAR ACADEMIES,4904.0,Star Academies,BD4 6NR,5.0,788.0,11,19,,10290309,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/10/2023,03/12/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Tong Leadership Academy,53.7649195,-1.6972069,http://www.tongschool.co.uk/,35.8,-0.61
142825,Buttershaw Business & Enterprise College Academy,Secondary,Academy Sponsor Led,01/09/2016,Non-selective,Does not have a sixth form,,Unknown,Non-faith,Bradford,Bradford South,2408.0,Bradford Diocesan Academies Trust,2407.0,Bradford Diocesan Academies Trust,BD6 3PX,5.0,1454.0,11,16,1.0,10257059,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,07/02/2023,14/06/2023,4.0,SWK,4.0,4.0,3.0,4.0,Yes,9.0,9.0,Buttershaw Business & Enterprise College Academy,53.7659198,-1.7940873,https://www.buttershaw.net,33.0,-0.83
143112,Beckfoot Oakbank,Secondary,Academy Sponsor Led,01/09/2016,Non-selective,Has a sixth form,,Unknown,Non-faith,Bradford,Keighley and Ilkley,2270.0,Beckfoot Trust,2271.0,Beckfoot Trust,BD22 7DU,4.0,1546.0,11,18,2.0,10249704,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,02/11/2022,23/01/2023,4.0,SWK,4.0,4.0,3.0,4.0,Yes,9.0,2.0,Beckfoot Oakbank,53.8547968,-1.92527,http://www.oakbank.org.uk,36.0,-0.62
